artikelnummer;name;kategorie;beschreibung;gebinde
PV20051;Polymer PYE PV 200 S 5 EN blaugrün;Abdichtung;Elastomerbitumen-Schweißbahn mit Polyestervlieseinlage nach DIN EN 13707/13969;5m Rolle
PV20050;Polymer PYE PV 200 S 5 talkumiert radondicht;Abdichtung;Elastomerbitumen-Schweißbahn radondicht;5m Rolle
TB146;DACO-KSU Kaltselbstklebende Ausgleichsbahn 3mm;Abdichtung;Kaltselbstklebende Bitumendichtungsbahn;1,00x7,5m
V60400;V 60 S 4 Bitumen-Schweißbahn Glasvlies 4mm;Abdichtung;nach DIN 13707/13969;5m Rolle
G20400;G 200 S 4 Bitumen-Schweißbahn Glasgewebe 4mm;Abdichtung;nach DIN 13707/13969;5m Rolle
AL01402;Aluminium Dampfsperr-Bitumen-Schweißbahn 4mm;Abdichtung;AL 01 + V 60 S 4;5m Rolle
353030.1;weber.tec 901 EUROLAN 3K 30L;Voranstrich;Bitumen-Emulsion als Voranstrich;30L Gebinde
353010.1;weber.tec 901 EUROLAN 3K 10L;Voranstrich;Bitumen-Emulsion als Voranstrich;10L Gebinde
353005.1;weber.tec 901 EUROLAN 3K 5L;Voranstrich;Bitumen-Emulsion als Voranstrich;5L Gebinde
V13100;Glasvlies-Bitumen-Dachbahn V 13 besandet;Dachbahn;nach DIN 13707/13969;10m Rolle
301202;KSK Kaltselbstklebende Bitumendichtungsbahn;Abdichtung;ganzjährig bis -5°C verarbeitbar, gegen Bodenfeuchte, 1m breit;15m Rolle
3011201;Primer KSK 10L;Voranstrich;Bitumen-Kautschuk-Voranstrich lösemittelfrei;10L Gebinde
3011205;Primer KSK 5L;Voranstrich;Bitumen-Kautschuk-Voranstrich lösemittelfrei;5L Gebinde
400025.1;Epasit-Mineral Dicht-plast Dichtschlämme 30kg;Dichtschlämme;Bauaufsichtlich zugelassen Z27.1-120;30kg Sack
430015.1;Epasit-SP-Schnellbinder 15kg;Schnellbinder;Schnellhärtender Montagezement, Verarbeitungszeit ca. 5 Min;15kg Eimer
430005.1;Epasit-SP-Schnellbinder 5kg;Schnellbinder;Schnellhärtender Montagezement;5kg Eimer
388043.6;weber.tec Bit-Spachtelmasse 6kg;Spachtelmasse;Lösemittelhaltige Bitumenspachtelmasse;6kg Eimer
388043.14;weber.tec Bit-Spachtelmasse 14kg;Spachtelmasse;Lösemittelhaltige Bitumenspachtelmasse;14kg Eimer
353110.2;weber.prim 900 Universalgrundierung 10L;Grundierung;Lösemittelfreie gebrauchsfertige Grundierung;10L Gebinde
353105.2;weber.prim 900 Universalgrundierung 5L;Grundierung;Lösemittelfreie gebrauchsfertige Grundierung;5L Gebinde
355045.1;weber.tec 915 Dickbeschichtung 30L;Dickbeschichtung;1-/2-komp. flexible Bitumen-Abdichtungsmasse;30L Gebinde
355045.2;weber.tec 915 Dickbeschichtung 10L;Dickbeschichtung;1-/2-komp. flexible Bitumen-Abdichtungsmasse;10L Gebinde
355030.1;weber.tec SUPERFLEX 2K 30L;Dickbeschichtung;Flexible radongasdichte 2-komp. Abdichtungsmasse;30L Gebinde
351030.1;weber.tec SUPERFLEX 10 30L;Dickbeschichtung;Hochflexible standfeste radongasdichte 2-komp. KMB;30L Gebinde
354220;weber.tec SUPERFLEX D24 24kg;Dickbeschichtung;Reaktivabdichtung bitumenfrei schnellabbindend;24kg Gebinde
355005.1;weber.tec SUPERFLEX D2 6kg;Dichtschlämme;Flex-Dichtschlämme 2-komp. hochflexibel;6kg Gebinde
355021.1;weber.tec SUPERFLEX D2 24kg;Dichtschlämme;Flex-Dichtschlämme 2-komp. hochflexibel;24kg Gebinde
355020.1;weber.tec 824 SUPERFLEX D1 20kg;Dichtschlämme;Flexible 1-komp. Dichtungsschlämme;20kg Sack
355023.1;weber.tec 930 Mineralische Dichtschlämme 25kg;Dichtschlämme;Für Trinkwasserbehälter, drückendes Wasser bis 15m;25kg Sack
